group,type,sampleID,PFHxA_peakArea,PFHxA_RT,13C2PFHxA_peakArea,13C2PFHxA_RT,PFHpA_peakArea,PFHpA_RT,PFOA_peakArea,PFOA_RT,13C4PFOA_peakArea,13C4PFOA_RT,PFNA_peakArea,PFNA_RT,13C5PFNA_peakArea,13C5PFNA_RT,PFDA_peakArea,PFDA_RT,13C2PFDA_peakArea,13C2PFDA_RT,PFHxS_peakArea,PFHxS_RT,13C4PFHxS_peakArea,13C4PFHxS_RT,PFOS_peakArea,PFOS_RT,13C4PFOS_peakArea,13C4PFOS_RT
F,unknown,Grp F NIA Sediment Field Blank #3,3.49E+02,3.58,1.59E+03,3.59,1.04E+03,3.71,1.25E+04,3.9,1.21E+04,3.89,1.89E+03,4.04,1.22E+04,4.05,6.23E+03,4.21,1.19E+04,4.19,0.00E+00,0,2.68E+02,3.71,0.00E+00,0,3.22E+02,4.03
D,unknown,Grp D NIA Biota Spike #1,6400,3.56,5640,3.58,2.43E+04,3.71,5.46E+04,3.87,2.61E+04,3.86,4.41E+05,4.05,9.22E+04,4.04,5.91E+04,4.16,2.52E+04,4.18,4.09E+03,3.72,1.12E+03,3.72,3.04E+03,4.02,3.83E+02,4.05
D,unknown,Grp D NIA Mortar/Pestle Blank #1,0,0,890,3.56,7.48E+02,3.73,5.14E+03,3.89,1.55E+04,3.89,1.77E+03,4.03,1.35E+04,4.03,2.65E+03,4.2,1.30E+04,4.18,0.00E+00,0,3.75E+02,3.73,0.00E+00,0,4.46E+02,3.98
D,unknown,Grp D NIA Blender Blank #1,242,3.58,2020,3.57,3.06E+02,3.74,2.39E+03,3.88,1.03E+04,3.86,2.42E+04,4.03,9.47E+04,4.02,5.71E+02,4.21,1.20E+04,4.17,0.00E+00,0,6.07E+02,3.7,0.00E+00,0,5.89E+02,4.06
D,unknown,Grp D NIA Handheld Homogenizer Blank #1,0,0,2320,3.54,6.38E+02,3.73,3.45E+03,3.88,1.58E+04,3.87,9.57E+02,4,1.64E+04,4,8.58E+02,4.19,1.35E+04,4.18,0.00E+00,0,8.21E+02,3.69,0.00E+00,0,5.00E+02,4.06
D,unknown,Grp D NIA Crayfish #1,2360,3.59,5630,3.58,8.74E+03,3.69,8.92E+04,3.86,2.74E+04,3.86,7.78E+03,4.02,1.80E+04,4.01,5.10E+03,4.2,2.33E+04,4.17,2.55E+03,3.72,7.32E+02,3.7,7.74E+02,4.03,6.25E+02,4.01
D,unknown,Grp D NIA Hardshell Bug #1,461,3.56,5710,3.55,4.18E+02,3.74,4.42E+03,3.89,1.40E+04,3.85,6.31E+03,4.03,1.48E+04,4.02,1.95E+03,4.16,1.87E+04,4.16,8.27E+01,3.65,5.53E+02,3.7,1.08E+03,4,9.22E+02,4.01
D,unknown,Grp D NIA Shrimp #1 (Replicate 1),273,3.56,2210,3.57,3.31E+02,3.78,4.04E+03,3.87,1.18E+04,3.88,1.65E+03,4.02,2.03E+04,4.04,1.59E+03,4.22,7.89E+03,4.16,2.76E+02,3.71,2.32E+02,3.72,3.45E+03,4.02,6.78E+02,4.01
D,unknown,Grp D NIA Shrimp #1 (Replicate 2),0,0,2380,3.57,3.79E+02,3.79,3.75E+03,3.86,1.07E+04,3.89,1.27E+03,4.04,2.18E+04,4.02,3.65E+02,4.23,0.00E+00,4.15,6.95E+01,3.76,0.00E+00,0,2.43E+03,4,8.30E+02,3.98
D,unknown,Grp D NIA Catfish #1 (Replicate 1),256,3.59,6240,3.55,8.56E+02,3.71,1.67E+03,3.91,2.26E+04,3.88,1.54E+03,4.05,2.11E+04,4.03,3.18E+03,4.2,2.72E+04,4.21,4.12E+02,3.73,2.50E+02,3.84,4.36E+03,4.01,8.00E+02,3.98
D,unknown,Grp D NIA Catfish #1 (Replicate 2),305,3.61,7360,3.55,0.00E+00,0,1.32E+03,3.94,1.79E+04,3.87,1.26E+03,4.02,2.20E+04,4.04,1.08E+03,4.21,2.99E+04,4.21,1.84E+02,3.75,1.04E+02,3.71,4.68E+03,4.03,7.32E+02,4.01
D,unknown,Grp D NIA Catfish #1 (Replicate 3),511,3.56,8850,3.56,0.00E+00,0,2.13E+03,3.94,2.89E+04,3.89,1.77E+03,4.03,2.91E+04,4.03,8.58E+02,4.21,3.74E+04,4.2,2.72E+02,3.75,2.68E+02,3.72,5.97E+03,4.01,1.59E+03,4.05
E,unknown,Grp E NIA Biota Spike #2,93700,3.57,32400,,2.92E+05,3.73,3.89E+05,3.89,7.70E+04,,4.41E+05,4.05,9.22E+04,4.04,5.15E+05,4.21,7.76E+04,4.22,2.88E+04,3.76,2.80E+03,3.74,2.76E+04,4.05,2.98E+03,4.04
