Congener,Sludge1_undiluted,Sludge2_undiluted,Sludge3_undiluted,Sludge4_undiluted,Sludge5_undiluted,Sludge6_undiluted,Sludge7_undiluted,Sludge8_undiluted,Sludge9_undiluted,Sludge10_undiluted,Sludge11_undiluted,Sludge12_undiluted,Sludge13_undiluted,Sludge14_undiluted,Sludge15_undiluted,Sludge16_undiluted,Sludge17_undiluted,Sludge18_undiluted,Sludge19_undiluted,Sludge20_undiluted,Sludge21_undiluted,Sludge22_undiluted,Sludge23_undiluted,Sludge24_undiluted,Sludge25_undiluted
C19H27Cl13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.459413389,0,0,0,0,0,0,0,0,0,0
C19H28Cl12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C19H29Cl11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.244688236,0,0,0,0,0,0,0,0
C19H30Cl10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C19H31Cl9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C19H32Cl8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C19H33Cl7,0,0,0,0,0,0,0,0,0,0,0,0,2.879832368,0,0,0,0,0,0,0,0,0,0,0,0
C19H34Cl6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.893942516,0,0,0,0,0,0,0
C19H35Cl5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C20H22Cl20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C20H23Cl19,7.577704851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C20H24Cl18,0,0,0,0,8.626951001,0,0,0,0,0,0,0,0,0,0,0,0,0,3.272083303,0,0,0,0,0,0
C20H25Cl17,0,0,7.349737102,0,0,0,7.51621157,0,0,0,19.75993107,37.26602633,0,0,0,0,0,0,0,0,17.47007007,0,0,0,0
C20H26Cl16,0,0,0,0,0,0,8.1526237,0,0,0,6.740336279,0,0,0,0,0,0,0,0,0,0,0,12.8922898,21.63495468,0
C20H27Cl15,0,0,0,0,72.32628965,0,16.37885356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.560221821
C20H28Cl14,0,0,0,0,0,5.2625472,0,5.971199053,0,0,0,3.974900206,0,0,0,0,0,2.550618053,0,0,0,0,0,0,0
C20H29Cl13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C20H30Cl12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C20H31Cl11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C20H32Cl10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C20H33Cl9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C20H34Cl8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C20H35Cl7,0,0,0,0,0,0,0,0,0,0,0,0,0,4.422365378,0,0,0,0,0,0,0,0,0,0,0
C20H36Cl6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C20H37Cl5,0,10.04696637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.14694237,9.058693777,0
