sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam2-PM1,AirBeam2:001896105519,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2019-09-19T12:15:15.520-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:15:16.533-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:15:17.510-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:15:18.495-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:15:19.798-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:15:20.523-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:15:21.526-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:15:22.510-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:15:23.533-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:15:24.515-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:15:25.534-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:15:26.518-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:15:27.508-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:15:28.530-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:15:29.513-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:15:30.499-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:15:31.518-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:15:32.511-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:15:33.522-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:15:34.529-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:15:35.522-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:15:36.486-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:15:37.507-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:15:38.513-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:15:39.515-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:15:40.513-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:15:41.513-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:15:42.510-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:15:43.498-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:15:44.511-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:15:45.520-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:15:46.527-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:15:47.507-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:15:48.533-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:15:49.518-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:15:50.502-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:15:51.523-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:15:52.529-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:15:53.521-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:15:54.519-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:15:55.531-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:15:56.502-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:15:57.511-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:15:58.513-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:15:59.517-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:16:00.523-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:16:01.509-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:16:02.509-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:16:03.517-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:16:04.501-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:16:05.512-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:16:06.514-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:16:07.509-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:16:08.507-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:16:09.513-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:16:10.514-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:16:11.521-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:16:12.502-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:16:13.498-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:16:14.523-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:16:15.520-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:16:16.513-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:16:17.506-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:16:18.513-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:16:19.528-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:16:20.532-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:16:21.520-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:16:22.505-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:16:23.502-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:16:24.511-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:16:25.526-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:16:26.520-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:16:27.528-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:16:28.517-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:16:29.537-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:16:30.513-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:16:31.501-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:16:32.508-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:16:33.521-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:16:34.519-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:16:35.486-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:16:36.495-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:16:37.521-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:16:38.516-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:16:39.516-0400,43.6665177,-79.3981142,2.0
