wavenumber,EPDM,Neoprene,Mylar,PTFE,PVC,Polystyrene,Polyethylene,Sample: eyeglass bag,Sample: Gloves (KC500),Sample: Shopping bag
986.8928,0.6876074,0.5505774,0.1375607,0.00845293,0.05084185,0.1627461,0.005130846,0.03420562,0.07046023,0.02499258
987.375,0.6932619,0.5510587,0.1388896,0.008483187,0.05032797,0.1642682,0.005244343,0.03437094,0.0700274,0.02520904
987.8571,0.6989468,0.5514759,0.13988,0.008507228,0.04983387,0.165447,0.005358773,0.03453864,0.06969193,0.02542339
988.3392,0.7046478,0.5518387,0.1404533,0.008526647,0.04936073,0.166224,0.005465647,0.03470986,0.06944711,0.02563846
988.8213,0.71035,0.55216,0.1405877,0.008543537,0.0489106,0.1665973,0.005557702,0.03488541,0.06928702,0.02585719
989.3035,0.7160432,0.552456,0.140322,0.008557735,0.04848444,0.1666232,0.005631257,0.03506448,0.06920489,0.02608072
989.7855,0.7217211,0.5527434,0.1397501,0.008567795,0.04808204,0.1664067,0.005688003,0.03524493,0.06919327,0.02630888
990.2677,0.7273824,0.5530376,0.1390025,0.008571162,0.04770184,0.166081,0.005734692,0.03542449,0.06924354,0.02654074
990.7498,0.7330308,0.5533508,0.1382252,0.008566696,0.04734233,0.1657867,0.005781599,0.03560239,0.06934721,0.02677628
991.2319,0.73867,0.55369,0.1375569,0.008556191,0.0470024,0.16565,0.005840014,0.03577979,0.06949585,0.02701681
991.714,0.7443019,0.554058,0.1371109,0.00854433,0.04668202,0.1657689,0.005918356,0.03595973,0.06968186,0.02726478
992.1962,0.7499245,0.5544558,0.136966,0.008538225,0.04638243,0.1662071,0.006019971,0.03614654,0.06989896,0.02752303
992.6782,0.7555293,0.5548824,0.1371633,0.008544721,0.04610568,0.1669941,0.0061426,0.0363442,0.07014134,0.02779354
993.1604,0.761104,0.5553378,0.1377099,0.008567769,0.04585321,0.1681302,0.006279145,0.03655494,0.07040304,0.02807672
993.6425,0.76663,0.5558211,0.1385864,0.008606588,0.04562505,0.1695947,0.006420143,0.03677879,0.07067703,0.02837179
994.1246,0.7720883,0.5563297,0.1397567,0.008656667,0.04541976,0.1713542,0.006557437,0.03701445,0.07095593,0.0286778
994.6067,0.7774623,0.5568596,0.1411781,0.008710294,0.04523459,0.1733692,0.00668553,0.03725975,0.07123166,0.02899413
995.0889,0.7827423,0.5574055,0.1428089,0.008760913,0.04506702,0.1756022,0.006803493,0.037513,0.07149754,0.02932138
995.5709,0.7879291,0.5579618,0.1446158,0.008804106,0.04491505,0.1780211,0.006913279,0.03777341,0.07174843,0.02966011
996.0531,0.7930394,0.5585266,0.1465776,0.008839395,0.04477913,0.1806039,0.00701877,0.03804052,0.07198209,0.0300104
996.5352,0.7981028,0.5591005,0.1486852,0.008868846,0.04466071,0.1833386,0.007123643,0.03831408,0.07219904,0.03037044
997.0173,0.8031604,0.5596885,0.1509402,0.00889546,0.04456257,0.1862229,0.007230086,0.03859321,0.07240102,0.03073738
997.4994,0.8082551,0.560295,0.1533501,0.008920546,0.04448739,0.1892602,0.007339077,0.03887645,0.07259089,0.03110764
997.9816,0.8134226,0.560921,0.1559248,0.008943386,0.04443684,0.1924569,0.00745018,0.03916248,0.07277178,0.03147995
998.4636,0.8186839,0.5615614,0.1586718,0.008960811,0.04441121,0.1958186,0.007563708,0.03945119,0.07294713,0.03185534
998.9458,0.8240392,0.5622041,0.1615957,0.008970174,0.04441044,0.1993493,0.007681115,0.03974504,0.07312118,0.03223879
999.4279,0.8294694,0.5628309,0.1646983,0.008970108,0.04443429,0.2030519,0.007805173,0.04004776,0.07329939,0.03263707
999.91,0.8349434,0.5634229,0.1679828,0.008962633,0.04448415,0.2069309,0.007940289,0.04036458,0.07348891,0.0330577
1000.392,0.840426,0.5639625,0.1714563,0.008953315,0.04456327,0.2109942,0.008090806,0.04070039,0.07369792,0.03350604
1000.874,0.8458905,0.5644369,0.1751336,0.008949372,0.04467759,0.2152556,0.00826056,0.04105885,0.07393516,0.03398461
1001.356,0.8513197,0.5648344,0.1790368,0.008957443,0.04483349,0.2197322,0.00845227,0.04144118,0.07420816,0.03449349
1001.839,0.8567089,0.5651435,0.183196,0.008982016,0.0450381,0.2244432,0.008666804,0.04184739,0.07452287,0.03503124
1002.321,0.8620608,0.5653505,0.1876468,0.009024279,0.04529772,0.2294064,0.008903557,0.04227709,0.07488356,0.03559742
1002.803,0.8673771,0.5654373,0.1924275,0.009081612,0.0456165,0.234635,0.009161442,0.04273023,0.0752921,0.03619251
1003.285,0.8726524,0.5653853,0.1975795,0.009149523,0.04599752,0.2401372,0.009438273,0.04320901,0.07574973,0.03681909
1003.767,0.8778695,0.5651794,0.2031465,0.009222572,0.04644328,0.2459148,0.009732491,0.04371643,0.07625757,0.03748064
1004.249,0.8829958,0.5648126,0.2091739,0.009295588,0.04695657,0.2519634,0.01004322,0.04425672,0.07681737,0.03818072
1004.731,0.8879859,0.5642892,0.2157092,0.009365148,0.04754249,0.2582714,0.0103707,0.04483337,0.07743195,0.03892311
1005.213,0.8927795,0.563623,0.2227964,0.009428551,0.04820858,0.2648154,0.01071633,0.04544893,0.07810485,0.03971096
1005.695,0.8973059,0.5628324,0.2304717,0.009484726,0.04896503,0.2715568,0.01108241,0.04610414,0.07884055,0.04054819
1006.177,0.9014885,0.5619372,0.2387557,0.009533638,0.04982436,0.2784358,0.01147127,0.04679919,0.07964373,0.04143919
1006.66,0.9052479,0.5609524,0.2476447,0.009576117,0.05079992,0.2853676,0.01188442,0.04753341,0.0805183,0.0423879
1007.142,0.9085106,0.5598899,0.2571049,0.009613892,0.05190587,0.2922422,0.01232229,0.04830657,0.08146738,0.0433972
1007.624,0.9112142,0.5587608,0.2670685,0.009649283,0.05315559,0.2989275,0.01278412,0.04911898,0.08249227,0.04446736
1008.106,0.9133052,0.5575775,0.2774311,0.009685211,0.05456191,0.3052752,0.01326965,0.04997129,0.08359122,0.04559584
1008.588,0.9147382,0.5563591,0.2880548,0.009723702,0.05613678,0.3111314,0.01378055,0.0508638,0.08476005,0.04677743
1009.07,0.9154614,0.5551282,0.29877,0.009765889,0.05789044,0.3163484,0.01432241,0.05179574,0.0859902,0.04800589
1009.552,0.9154072,0.5539094,0.3093829,0.009812112,0.05983116,0.3208005,0.01490452,0.05276534,0.08727024,0.04927539
1010.034,0.9144874,0.5527232,0.3196857,0.009861121,0.06196271,0.3243999,0.01553863,0.05376859,0.08858462,0.05058048
1010.517,0.9125976,0.5515818,0.3294716,0.009911101,0.06428216,0.3271149,0.01623616,0.05479886,0.0899151,0.05191504
1010.999,0.9096336,0.5504881,0.3385549,0.009960235,0.06677737,0.3289835,0.01700295,0.05584644,0.0912405,0.05326993
1011.481,0.9055164,0.5494375,0.3467932,0.01000709,0.06942508,0.3301197,0.01783601,0.05689849,0.09253763,0.054631
1011.963,0.9002091,0.5484197,0.3541058,0.01005073,0.07218971,0.3307054,0.01872174,0.05793873,0.09378219,0.05597766
1012.445,0.8937298,0.5474231,0.3604842,0.01009059,0.07502422,0.3309696,0.01963602,0.0589482,0.09494989,0.05728453
1012.927,0.886143,0.5464359,0.3659851,0.01012662,0.07787227,0.3311523,0.02054831,0.05990707,0.09601803,0.05852493
1013.409,0.8775418,0.5454442,0.3707094,0.01015861,0.08067099,0.331463,0.0214261,0.06079563,0.09696678,0.05967415
1013.891,0.8680286,0.544434,0.3747675,0.01018717,0.0833553,0.3320417,0.02224007,0.06159727,0.09778208,0.06071318
1014.374,0.8576951,0.5433883,0.3782391,0.01021338,0.085861,0.3329271,0.0229678,0.06229785,0.09845431,0.06162932
